period,county,Total Dewormed,Acute Malnutrition,stunted 6-23 months,stunted 0-<6 months,stunted 24-59 months,diarrhoea cases,Underweight 0-<6 months,Underweight 6-23 months,Underweight 24-59 Months
23-Jan,Baringo County,3659,8,471,34,380,2620,85,739,731
23-Jan,Bomet County,1580,,1,3,,1984,41,86,16
23-Jan,Bungoma County,6590,24,98,154,23,4576,231,315,120
23-Jan,Busia County,7564,,396,143,111,2239,251,608,125
23-Jan,Elgeyo Marakwet County,1407,,92,71,5,2739,57,104,21
23-Jan,Embu County,3241,72,326,86,24,1376,141,544,160
23-Jan,Garissa County,6751,250,40,13,99,2314,223,1856,1833
23-Jan,Homa Bay County,4691,9,209,87,58,2787,140,298,84
23-Jan,Isiolo County,790,26,51,6,50,1319,13,180,271
23-Jan,Kajiado County,7532,104,319,102,155,4202,139,840,577
23-Jan,Kakamega County,8044,36,252,279,292,4307,373,547,110
23-Jan,Kericho County,2070,,8,13,5,4175,126,415,55
23-Jan,Kiambu County,7891,183,530,385,88,4720,723,1595,239
23-Jan,Kilifi County,9991,81,1690,267,360,6228,339,2291,674
23-Jan,Kirinyaga County,2148,,157,17,8,2040,172,593,53
23-Jan,Vihiga County,2576,28,200,96,28,906,84,356,44
23-Jan,Uasin Gishu County,7878,1,152,77,39,6155,242,598,88
23-Jan,Turkana County,8336,189,1272,505,1194,7053,532,3465,3940
23-Jan,Trans Nzoia County,2603,248,236,162,22,1862,281,538,74
23-Jan,Tharaka Nithi County,3381,33,212,102,51,1599,154,479,121
23-Jan,Tana River County,1954,233,125,13,83,2072,15,526,672
23-Jan,Taita Taveta County,1624,1,231,95,51,1062,189,624,180
23-Jan,Siaya County,3843,3,16,111,16,2421,170,239,71
23-Jan,Samburu County,1338,60,141,15,104,2384,76,519,733
23-Jan,Nyeri County,2969,18,166,194,22,1077,345,374,44
23-Jan,Nyandarua County,3072,,110,119,6,1540,188,350,43
23-Jan,Nyamira County,2091,,97,58,5,1100,66,141,9
23-Jan,Narok County,5820,56,67,57,32,2856,99,638,68
23-Jan,Nandi County,1986,,117,47,7,1957,102,725,46
23-Jan,Nakuru County,9694,120,396,248,44,7420,579,1323,222
23-Jan,Nairobi County,19893,279,2518,1243,371,9361,1474,3544,646
23-Jan,Muranga County,4745,31,1036,236,86,2049,350,1002,122
23-Jan,Mombasa County,3304,451,437,88,68,3089,322,1306,254
23-Jan,Migori County,6739,29,186,68,61,2593,103,283,112
23-Jan,Meru County,4733,26,137,215,29,2767,185,430,73
23-Jan,Marsabit County,2667,165,475,18,581,1344,20,1126,1511
23-Jan,Mandera County,4536,394,261,107,100,7531,276,509,594
23-Jan,Makueni County,6497,121,573,62,392,3582,126,1207,834
23-Jan,Machakos County,7594,65,78,20,89,3783,338,1330,215
23-Jan,Lamu County,225,,48,12,11,726,18,72,19
23-Jan,Laikipia County,4473,22,303,225,111,1401,457,830,304
23-Jan,Kwale County,7968,271,806,123,602,3291,204,1444,1076
23-Jan,Kitui County,6264,42,770,186,401,3576,234,1692,821
23-Jan,Kisumu County,4840,207,91,67,55,3265,201,429,104
23-Jan,Kisii County,3498,4,29,22,10,2359,77,78,17
23-Jan,Wajir County,6337,940,11,1,50,4250,113,911,773
23-Jan,West Pokot County,4820,36,142,64,108,3010,205,567,469
23-Feb,Baringo County,5237,10,406,443,432,2937,145,838,756
23-Feb,Bomet County,2326,4,365,,9,5053,106,113,23
23-Feb,Bungoma County,5897,31,95,404,32,5164,420,338,97
23-Feb,Busia County,3577,,344,220,84,2004,195,619,68
23-Feb,Elgeyo Marakwet County,2642,,53,59,27,4609,83,108,25
23-Feb,Embu County,2750,75,239,92,70,1193,130,626,354
23-Feb,Garissa County,8090,1059,44,93,122,2072,70,1623,2039
23-Feb,Homa Bay County,4157,5,237,81,80,3794,137,210,126
23-Feb,Isiolo County,1115,138,192,124,35,1149,47,157,251
23-Feb,Kajiado County,6772,295,894,99,1062,4959,207,1245,1485
23-Feb,Kakamega County,8563,26,291,154,86,5580,276,791,230
23-Feb,Kericho County,2338,,6,20,,4775,149,589,169
23-Feb,Kiambu County,10852,13,572,350,45,5744,732,1695,142
23-Feb,Kilifi County,8354,266,1534,397,423,5947,372,2069,970
23-Feb,Kirinyaga County,2041,9,104,50,17,2437,159,520,47
23-Feb,Vihiga County,2686,33,269,46,40,1531,87,273,159
23-Feb,Uasin Gishu County,7510,,188,148,160,8600,531,613,99
23-Feb,Turkana County,13641,395,1185,360,1618,6067,413,3038,4216
23-Feb,Trans Nzoia County,2403,373,246,183,45,2619,272,592,125
23-Feb,Tharaka Nithi County,2131,39,254,87,64,1292,172,519,107
23-Feb,Tana River County,3268,374,215,10,113,1453,232,728,902
23-Feb,Taita Taveta County,1842,2,481,124,74,730,250,778,188
23-Feb,Siaya County,3990,5,7,15,7,2983,64,162,77
23-Feb,Samburu County,3449,382,211,26,230,2367,117,758,1166
