county,rows,Total Dewormed,Acute Malnutrition,stunted 6-23 months,stunted 0-<6 months,stunted 24-59 months,diarrhoea cases,Underweight 0-<6 months,Underweight 6-23 months,Underweight 24-59 Months
Baringo County,30,317901.0,247.0,7872.0,3645.0,7139.0,73523.0,3318.0,16015.3,14299.5
Bomet County,30,49671.0,11.0,631.0,116.0,182.0,71548.0,2692.0,3751.0,778.0
Bungoma County,30,439128.0,132.0,3626.0,2858.0,1054.0,92433.0,8891.0,11854.0,4243.0
Busia County,30,131360.0,87.0,10175.0,5199.0,2008.0,50694.0,6888.0,16828.0,4230.0
Elgeyo Marakwet County,30,203233.0,0.0,2401.0,2053.0,274.0,60364.0,2182.0,4524.0,577.0
Embu County,30,268790.0,1234.0,7927.0,2823.0,1428.0,29336.0,4169.0,15656.0,2848.0
Garissa County,30,320556.0,8082.0,1219.0,719.0,6848.0,65146.0,2935.0,28922.0,30921.0
Homa Bay County,30,229969.0,779.0,4316.0,3601.0,782.0,54505.0,4251.0,7168.0,1822.0
Isiolo County,30,102752.0,1931.0,1776.0,794.0,1895.0,33148.0,852.0,5091.0,6283.0
Kajiado County,30,509732.0,2351.0,8248.0,5017.0,3011.0,117741.0,5356.0,18039.0,11574.0
Kakamega County,30,507825.0,628.0,9128.0,6613.0,2671.0,111957.0,8423.0,19399.0,5759.0
Kericho County,30,57840.0,0.0,1272.0,928.0,546.0,86709.0,3973.0,10192.0,2209.0
Kiambu County,30,552724.0,3151.0,16841.0,11217.0,2245.0,155463.0,20113.0,38157.0,7055.0
Kilifi County,30,796537.0,2206.0,37655.0,9859.0,8181.0,229190.0,11634.0,55419.0,15077.0
Kirinyaga County,30,196699.0,28.0,4766.0,1876.0,778.0,60343.0,5251.0,14877.0,1968.0
Kisii County,30,89020.0,18.0,1759.0,2619.0,459.0,62511.0,3870.0,4660.0,1241.0
Kisumu County,30,216503.0,4122.0,4641.0,2886.0,2555.0,92301.0,6158.0,14796.0,4278.0
Kitui County,30,526023.0,323.0,19405.0,5250.0,7654.0,65914.0,7092.0,30066.0,15799.0
Kwale County,30,544232.0,4765.0,16173.0,4050.0,9999.0,99251.0,7651.0,30695.0,15261.0
Laikipia County,30,236677.0,937.0,6871.0,6933.0,2058.0,43353.0,10792.0,15004.0,3504.0
Lamu County,30,7789.0,0.0,649.0,274.0,144.0,26127.0,731.0,1740.0,540.0
Machakos County,30,518546.0,3404.0,1370.0,1295.0,3213.0,101821.0,10657.0,26426.6,5983.0
Makueni County,30,443757.0,1537.0,13784.0,3188.0,5580.0,68878.0,4663.0,25738.0,12066.0
Mandera County,30,122289.0,5853.0,3704.0,2569.0,4300.0,189032.0,6023.0,14018.0,18372.0
Marsabit County,30,218737.0,3434.0,9531.0,1113.0,9690.0,52648.0,2130.0,25605.0,37820.0
Meru County,30,488199.0,1192.0,6226.0,3720.0,1609.0,61684.0,8727.0,14374.0,4597.0
Migori County,30,295309.0,789.0,3377.0,1933.0,1435.0,74936.0,3076.0,6340.0,2522.0
Mombasa County,30,150269.0,7783.0,13603.0,4697.0,2353.0,116595.0,8853.0,33580.0,6468.0
Muranga County,30,239676.0,398.0,15199.0,7955.0,3458.0,52412.0,11289.0,25516.0,5087.0
Nairobi County,30,2019461.0,9817.0,56654.0,36856.0,12811.0,304178.0,38534.0,102110.0,16286.0
Nakuru County,30,794575.0,4722.0,15794.0,8421.0,2779.0,188615.0,21903.0,38652.0,6717.0
Nandi County,30,179601.0,273.0,3689.0,2248.0,907.0,48301.0,3636.0,9132.0,2051.0
Narok County,30,682578.0,795.0,2422.0,2566.0,1658.0,81709.0,3115.0,7064.0,1894.0
Nyamira County,30,140028.0,27.0,1840.0,1402.0,282.0,28194.0,2041.0,2930.0,433.0
Nyandarua County,30,194399.0,116.0,4043.0,2895.0,474.0,29335.0,4781.0,8163.0,1530.0
Nyeri County,30,217276.0,635.0,7342.0,5358.0,952.0,33810.0,9471.0,15356.0,1812.0
Samburu County,30,176662.0,1964.0,2546.0,1060.0,1929.0,69153.0,1910.0,14205.0,14351.0
Siaya County,30,399456.0,27.0,1149.0,752.0,881.0,61537.0,2984.0,5098.0,2316.0
Taita Taveta County,30,166802.0,75.0,7547.0,2684.0,2001.0,25353.0,5288.0,16578.0,5138.0
Tana River County,30,84711.0,7954.0,4267.0,1235.0,2640.0,54680.0,1538.0,16228.0,11416.0
Tharaka Nithi County,30,172244.0,583.0,5928.0,2653.0,1652.0,29013.0,4435.0,12189.0,2238.0
Trans Nzoia County,30,385764.0,4361.0,5031.0,3929.0,746.0,43393.0,6290.0,10956.0,1855.0
Turkana County,30,538946.0,9849.0,20806.0,7184.0,19677.0,220760.0,9817.0,68495.0,78642.0
Uasin Gishu County,30,635556.0,2.0,8217.0,5749.0,1676.0,152828.0,8296.0,19267.0,2461.0
Vihiga County,30,84225.0,837.0,5530.0,1791.0,1600.0,23312.0,2767.0,8317.0,2034.0
Wajir County,30,292306.0,33860.0,1893.0,731.0,6463.0,94920.0,3728.0,20994.0,30844.0
West Pokot County,30,209332.0,978.0,3097.0,1136.0,1951.0,78215.0,1920.0,9501.0,5890.0
