period,rows,Total Dewormed,Acute Malnutrition,stunted 6-23 months,stunted 0-<6 months,stunted 24-59 months,diarrhoea cases,Underweight 0-<6 months,Underweight 6-23 months,Underweight 24-59 Months
2021-01,47,186487.0,1500.0,7479.0,4488.0,2218.0,94327.0,6633.0,15528.0,8941.0
2021-02,47,196730.0,2262.0,8311.0,5055.0,2446.0,119174.0,7950.0,20371.0,7399.0
2021-03,47,252827.0,2485.0,11023.0,6653.0,3417.0,143195.0,11126.0,28599.0,9275.0
2021-04,47,227051.0,3083.0,10215.0,7558.0,3355.0,111542.0,10404.0,25031.0,8812.0
2021-05,47,855315.0,1502.0,9345.0,4967.0,5722.0,127516.0,9356.0,25304.0,9699.0
2021-06,47,996427.0,1973.0,9870.0,5437.0,4303.0,128450.0,9600.0,24548.0,10071.0
2021-07,47,217076.0,2264.0,11104.0,6345.0,3505.0,116587.0,11038.0,22859.0,11793.5
2021-08,47,219091.0,1885.0,10658.0,6619.0,3594.0,126177.0,11823.0,23749.0,9466.0
2021-09,47,227713.0,2070.0,10555.0,6103.0,3927.0,129384.0,10861.0,25014.0,11459.0
2021-10,47,237444.0,2333.0,11310.0,7626.0,3424.0,111829.0,10869.0,27604.0,9999.0
2021-11,47,935588.0,2755.0,11025.0,5565.0,3419.0,131004.0,10272.0,27328.0,10129.0
2021-12,47,1166794.0,2246.0,10398.0,6229.0,3253.0,124927.0,8665.0,22306.0,8456.0
2022-01,47,217187.0,2720.0,12318.0,6103.0,3683.0,152593.0,9685.0,26759.0,10972.0
2022-02,47,246945.0,5885.0,10930.0,5688.0,3717.0,133726.0,9937.0,27301.0,11272.0
2022-03,47,216664.0,4524.0,13314.0,6442.0,4196.0,145426.0,10437.0,31505.0,11996.0
2022-04,47,196422.0,3041.0,12349.0,6172.0,4395.0,124322.0,9576.0,27184.3,11671.0
2022-05,47,657261.0,4237.0,12647.0,7771.0,4938.0,147624.0,10307.0,31773.0,12526.0
2022-06,47,1643417.0,5973.0,14951.0,5490.0,5570.0,148925.0,10469.0,33111.0,15022.0
2022-07,47,202901.0,4105.0,12678.0,5748.0,3687.0,112600.0,9667.0,29041.0,11802.0
2022-08,47,196558.0,2945.0,12898.0,5764.0,4108.0,111098.0,11389.0,28571.0,12513.0
2022-09,47,237053.0,6769.0,15185.0,6774.0,5657.0,115487.0,11046.0,34294.0,17073.0
2022-10,47,357465.0,9536.0,20953.0,7190.0,6521.0,119385.0,11306.0,39645.0,19140.0
2022-11,47,2112322.0,7118.0,14848.0,5371.0,5717.0,124844.0,11267.0,38091.0,19899.0
2022-12,47,585045.0,6344.0,13315.0,5471.0,7251.0,123616.0,10030.0,35645.3,17900.0
2023-01,47,232247.0,4866.0,16079.0,6316.0,6487.0,147067.0,10879.0,38666.0,19368.0
2023-02,47,261280.0,7775.0,19086.0,7164.0,9244.0,167931.0,12400.0,41854.3,25175.0
2023-03,47,273224.0,9862.0,17632.0,6894.0,12116.0,168354.0,12849.0,43916.0,26480.0
2023-04,47,263834.0,5115.0,14875.0,6374.0,7885.0,144404.0,10906.0,38516.0,23258.0
2023-05,47,1380237.0,6968.0,19931.0,14568.0,8674.0,175803.0,13201.0,45377.0,27984.0
2023-06,47,1157060.0,8156.0,16658.0,6505.0,8199.0,139552.0,11146.0,40195.0,21539.0
